$2/1/1990-8/29/2024 Squaw Creek (proportional estimate),
,
JDAY,QIN
14642,4.37
14643,3.49
14644,5.2
14645,4.83
14646,4.52
14647,4.42
14648,3.91
14649,4.04
14650,4.45
14651,3.44
14652,3.95
14653,3.96
14654,4.01
14655,3.75
14656,3.94
14657,4.79
14658,4.54
14659,3.74
14660,3.52
14661,3.73
14662,4.09
14663,3.97
14664,4.83
14665,4.71
14666,4.5
14667,5.42
14668,5.39
14669,5.34
14670,5.42
14671,7.62
14672,11.65
14673,11.74
14674,10.64
14675,9.17
14676,7.91
14677,7.7
14678,6.57
14679,8.08
14680,7.02
14681,6.66
14682,5.99
14683,6.01
14684,5.92
14685,5.99
14686,5.52
14687,5.79
14688,5.99
14689,5.38
14690,5.43
14691,4.93
14692,5.72
14693,4.96
14694,5.05
14695,4.09
14696,4.68
14697,4.04
14698,5.85
14699,4.67
14700,4.32
14701,4.32
14702,4.44
14703,3.62
14704,4.18
14705,4.34
14706,3.93
14707,4.18
14708,4.3
14709,4.03
14710,3.92
14711,3.87
14712,3.79
14713,3.8
14714,3.74
14715,3.78
14716,3.99
14717,3.84
14718,3.32
14719,3.46
14720,3.53
14721,3.67
14722,3.96
14723,4.4
14724,3.78
14725,3.56
14726,3.61
14727,3.31
14728,3.5
14729,3.16
14730,3.25
14731,3.11
14732,3.27
14733,2.98
14734,3.11
14735,2.8
14736,3.62
14737,1.6
14738,2.84
14739,2.08
14740,3.19
14741,2.75
14742,2.8
14743,2.8
14744,2.57
14745,3.53
14746,3.25
14747,2.2
14748,2.72
14749,3.18
14750,4.66
14751,4.81
14752,12.61
14753,14.93
14754,7.96
14755,6.31
14756,7.83
14757,26.49
14758,24.78
14759,13.87
14760,14.17
14761,14.64
14762,12.59
14763,11.0
14764,9.18
14765,7.84
14766,8.02
14767,6.33
14768,6.55
14769,5.79
14770,5.21
14771,5.27
14772,4.47
14773,4.56
14774,4.34
14775,4.58
14776,4.04
14777,4.08
14778,2.65
14779,4.82
14780,4.34
14781,4.0
14782,3.22
14783,3.52
14784,3.48
14785,3.14
14786,3.0
14787,3.63
14788,3.13
14789,3.22
14790,3.04
14791,3.25
14792,2.62
14793,3.39
14794,2.69
14795,3.14
14796,2.92
14797,2.97
14798,3.12
14799,3.23
14800,2.92
14801,2.7
14802,2.92
14803,2.73
14804,2.99
14805,3.0
14806,2.95
14807,2.69
14808,2.55
14809,2.75
14810,3.22
14811,2.32
14812,2.97
14813,2.63
14814,2.49
14815,2.47
14816,2.31
14817,2.57
14818,2.82
14819,2.56
14820,2.65
14821,2.32
14822,2.41
14823,2.69
14824,2.63
14825,2.64
14826,2.66
14827,2.62
14828,2.46
14829,2.26
14830,2.85
14831,2.49
14832,2.94
14833,2.46
14834,2.59
14835,2.42
14836,2.44
14837,2.56
14838,2.46
14839,2.45
14840,3.05
14841,2.45
14842,2.74
14843,2.83
14844,2.57
14845,2.54
14846,2.6
14847,2.5
14848,2.57
14849,2.59
14850,2.77
14851,2.08
14852,2.61
14853,2.43
14854,2.57
14855,2.31
14856,2.42
14857,2.55
14858,2.37
14859,2.43
14860,2.35
14861,2.54
14862,2.37
14863,2.51
14864,3.06
14865,2.49
14866,2.53
14867,2.4
14868,2.51
14869,3.01
14870,2.52
14871,2.81
14872,2.59
14873,2.69
14874,2.3
14875,3.15
14876,1.87
14877,2.7
14878,3.01
14879,2.46
14880,2.64
14881,2.77
14882,2.79
14883,2.65
14884,2.13
14885,2.87
14886,2.4
14887,2.74
14888,2.57
14889,2.78
14890,2.69
14891,2.15
14892,2.4
14893,2.77
14894,2.32
14895,2.7
14896,2.37
14897,2.61
14898,2.28
14899,2.83
14900,1.99
14901,3.04
14902,2.5
14903,2.63
14904,2.94
14905,2.18
14906,3.1
14907,2.45
14908,3.3
14909,2.61
14910,2.4
14911,1.78
14912,3.31
14913,2.63
14914,3.96
14915,2.51
14916,3.05
14917,3.16
14918,1.78
14919,2.82
14920,3.07
14921,2.85
14922,2.59
14923,2.52
14924,2.85
14925,3.02
14926,2.95
14927,1.6
14928,3.6
14929,2.75
14930,2.67
14931,2.68
14932,2.84
14933,2.34
14934,2.94
14935,2.59
14936,2.88
14937,3.05
14938,3.11
14939,3.52
14940,2.0
14941,2.71
14942,2.65
14943,2.32
14944,2.88
14945,2.77
14946,2.39
14947,2.62
14948,2.59
14949,2.51
14950,2.09
14951,3.9
14952,2.16
14953,2.73
14954,4.21
14955,1.65
14956,3.29
14957,3.04
14958,1.76
14959,3.24
14960,2.56
14961,3.3
14962,2.36
14963,3.18
14964,3.02
14965,3.15
14966,1.39
14967,1.28
14968,1.95
14969,3.37
14970,3.05
14971,2.89
14972,2.31
14973,1.18
14974,2.98
14975,2.84
14976,3.17
14977,3.71
14978,1.99
14979,1.96
14980,3.18
14981,2.1
14982,3.03
14983,3.33
14984,2.3
14985,2.52
14986,2.85
14987,4.19
14988,2.36
14989,2.95
14990,2.53
14991,3.01
14992,2.9
14993,3.55
14994,2.41
14995,4.28
14996,0.81
14997,2.85
14998,3.37
14999,2.38
15000,2.88
15001,2.25
15002,3.34
15003,2.16
15004,2.27
15005,2.66
15006,2.53
15007,2.16
15008,6.11
15009,3.98
15010,3.57
15011,3.83
15012,3.86
15013,3.16
15014,3.58
15015,2.94
15016,2.48
15017,3.26
15018,2.85
15019,2.88
15020,2.41
15021,3.54
15022,3.78
15023,3.39
15024,4.16
15025,0.07
15026,2.14
15027,2.97
15028,2.88
15029,2.57
15030,2.88
15031,3.02
15032,1.37
15033,4.15
15034,3.03
15035,5.34
15036,7.26
15037,20.42
15038,24.37
15039,16.04
15040,10.8
15041,6.64
15042,5.38
15043,5.78
15044,5.53
15045,4.65
15046,6.1
15047,6.01
15048,5.05
15049,5.78
15050,4.3
15051,6.85
15052,4.61
15053,6.2
15054,8.2
15055,5.43
15056,6.35
15057,13.37
15058,11.64
