$10/1/1995-12/31/2016 Squaw Creek temp-C (DLT temp),
,
JDAY,TIN
16710,14.56
16711,14.43
16712,14.31
16713,14.19
16714,14.07
16715,13.95
16716,13.84
16717,13.72
16718,13.61
16719,13.5
16720,13.4
16721,13.29
16722,13.19
16723,13.1
16724,13.0
16725,12.91
16726,12.83
16727,12.75
16728,12.68
16729,12.64
16730,12.6
16731,12.56
16732,12.52
16733,12.47
16734,12.43
16735,12.39
16736,12.36
16737,12.34
16738,12.32
16739,12.3
16740,12.28
16741,12.26
16742,12.24
16743,12.22
16744,12.19
16745,12.16
16746,12.1
16747,12.04
16748,11.95
16749,11.86
16750,11.75
16751,11.64
16752,11.52
16753,11.4
16754,11.27
16755,11.15
16756,11.03
16757,10.91
16758,10.78
16759,10.66
16760,10.53
16761,10.41
16762,10.29
16763,10.17
16764,10.06
16765,9.96
16766,9.88
16767,9.8
16768,9.73
16769,9.66
16770,9.61
16771,9.55
16772,9.49
16773,9.44
16774,9.38
16775,9.32
16776,9.26
16777,9.19
16778,9.13
16779,9.05
16780,8.97
16781,8.88
16782,8.78
16783,8.67
16784,8.56
16785,8.43
16786,8.31
16787,8.19
16788,8.08
16789,7.96
16790,7.86
16791,7.75
16792,7.65
16793,7.55
16794,7.46
16795,7.38
16796,7.3
16797,7.23
16798,7.17
16799,7.12
16800,7.07
16801,7.03
16802,7.0
16803,6.98
16804,6.97
16805,6.96
16806,6.95
16807,6.94
16808,6.93
16809,6.9
16810,6.86
16811,6.82
16812,6.76
16813,6.69
16814,6.62
16815,6.54
16816,6.46
16817,6.38
16818,6.31
16819,6.24
16820,6.18
16821,6.13
16822,6.09
16823,6.06
16824,6.03
16825,6.0
16826,5.99
16827,5.98
16828,5.97
16829,5.98
16830,5.99
16831,6.02
16832,6.05
16833,6.1
16834,6.15
16835,6.22
16836,6.3
16837,6.39
16838,6.48
16839,6.56
16840,6.65
16841,6.73
16842,6.8
16843,6.85
16844,6.9
16845,6.93
16846,6.96
16847,6.97
16848,6.98
16849,6.99
16850,7.0
16851,7.01
16852,7.02
16853,7.03
16854,7.04
16855,7.06
16856,7.08
16857,7.09
16858,7.11
16859,7.11
16860,7.12
16861,7.13
16862,7.13
16863,7.14
16864,7.16
16865,7.19
16866,7.24
16867,7.3
16868,7.37
16869,7.45
16870,7.54
16871,7.63
16872,7.72
16873,7.81
16874,7.88
16875,7.94
16876,7.99
16877,8.03
16878,8.06
16879,8.1
16880,8.13
16881,8.17
16882,8.21
16883,8.26
16884,8.31
16885,8.36
16886,8.42
16887,8.47
16888,8.52
16889,8.56
16890,8.6
16891,8.63
16892,8.65
16893,8.67
16894,8.69
16895,8.7
16896,8.72
16897,8.74
16898,8.76
16899,8.78
16900,8.8
16901,8.83
16902,8.86
16903,8.9
16904,8.93
16905,8.97
16906,9.0
16907,9.04
16908,9.08
16909,9.13
16910,9.17
16911,9.22
16912,9.27
16913,9.33
16914,9.39
16915,9.46
16916,9.53
16917,9.62
16918,9.71
16919,9.81
16920,9.92
16921,10.03
16922,10.16
16923,10.28
16924,10.4
16925,10.52
16926,10.62
16927,10.71
16928,10.79
16929,10.85
16930,10.9
16931,10.94
16932,10.98
16933,11.01
16934,11.05
16935,11.09
16936,11.13
16937,11.18
16938,11.23
16939,11.28
16940,11.33
16941,11.38
16942,11.42
16943,11.46
16944,11.48
16945,11.51
16946,11.55
16947,11.6
16948,11.68
16949,11.81
16950,11.99
16951,12.22
16952,12.49
16953,12.78
16954,12.84
16955,12.56
16956,12.19
16957,11.94
16958,11.85
16959,11.86
16960,11.91
16961,12.0
16962,12.11
16963,12.2
16964,12.22
16965,12.11
16966,11.84
16967,11.43
16968,11.03
16969,10.86
16970,10.95
16971,11.19
16972,11.51
16973,11.87
16974,12.26
16975,12.67
16976,13.09
16977,13.51
16978,13.94
16979,14.36
16980,14.77
16981,15.18
16982,15.57
16983,15.95
16984,16.32
16985,16.67
16986,17.0
16987,17.32
16988,17.61
16989,17.88
16990,18.12
16991,18.34
16992,18.53
16993,18.71
16994,18.88
16995,19.02
16996,19.14
16997,19.24
16998,19.33
16999,19.4
17000,19.47
17001,19.52
17002,19.57
17003,19.6
17004,19.63
17005,19.64
17006,19.64
17007,19.64
17008,19.63
17009,19.63
17010,19.63
17011,19.64
17012,19.67
17013,19.7
17014,19.74
17015,19.78
17016,19.82
17017,19.84
17018,19.85
17019,19.84
17020,19.82
17021,19.78
17022,19.74
17023,19.69
17024,19.64
17025,19.6
17026,19.57
17027,19.54
17028,19.52
17029,19.51
17030,19.51
17031,19.51
17032,19.51
17033,19.5
17034,19.47
17035,19.43
17036,19.37
17037,19.29
17038,19.2
17039,19.1
17040,18.99
17041,18.87
17042,18.75
17043,18.62
17044,18.5
17045,18.37
17046,18.23
17047,18.09
17048,17.95
17049,17.79
17050,17.62
17051,17.44
17052,17.24
17053,17.04
17054,16.83
17055,16.61
17056,16.38
17057,16.17
17058,15.96
17059,15.78
17060,15.64
17061,15.53
17062,15.45
17063,15.39
17064,15.35
17065,15.31
17066,15.27
17067,15.23
17068,15.19
17069,15.14
17070,15.08
17071,15.02
17072,14.96
17073,14.9
17074,14.85
17075,14.79
17076,14.75
17077,14.7
17078,14.65
17079,14.59
17080,14.5
17081,14.36
17082,14.19
17083,13.97
17084,13.73
17085,13.47
17086,13.22
17087,12.97
17088,12.72
17089,12.47
17090,12.23
17091,11.99
17092,11.75
17093,11.52
17094,11.3
17095,11.08
17096,10.88
17097,10.69
17098,10.51
17099,10.34
17100,10.19
17101,10.05
17102,9.93
17103,9.83
17104,9.74
17105,9.67
17106,9.62
17107,9.57
17108,9.53
17109,9.49
17110,9.47
17111,9.45
17112,9.44
17113,9.44
17114,9.45
17115,9.47
17116,9.5
17117,9.53
17118,9.55
17119,9.57
17120,9.58
17121,9.57
17122,9.56
17123,9.53
17124,9.49
17125,9.44
17126,9.39
17127,9.34
17128,9.29
17129,9.25
17130,9.21
17131,9.17
17132,9.14
17133,9.1
17134,9.07
17135,9.03
17136,8.99
17137,8.94
17138,8.87
17139,8.8
17140,8.72
17141,8.64
17142,8.55
17143,8.46
17144,8.38
17145,8.31
17146,8.24
17147,8.18
17148,8.14
17149,8.09
17150,8.06
17151,8.03
17152,8.0
17153,7.97
17154,7.95
17155,7.92
17156,7.89
17157,7.86
17158,7.81
17159,7.76
17160,7.71
17161,7.65
17162,7.59
17163,7.54
17164,7.49
17165,7.44
17166,7.4
17167,7.36
17168,7.32
17169,7.29
17170,7.25
17171,7.22
17172,7.18
17173,7.14
17174,7.09
17175,7.03
17176,6.97
17177,6.9
17178,6.83
