$10/1/1950-8/29/2024 Squaw Creek (proportional estimate),
,
JDAY,QIN
1,2.37
2,3.12
3,2.7
4,2.39
5,3.25
6,2.77
7,2.15
8,2.9
9,2.99
10,2.61
11,2.52
12,2.56
13,3.0
14,2.6
15,2.19
16,4.06
17,6.98
18,3.3
19,2.58
20,2.99
21,2.34
22,2.81
23,3.08
24,3.51
25,6.44
26,8.44
27,11.32
28,35.06
29,43.57
30,33.62
31,13.61
32,9.87
33,7.73
34,6.82
35,5.99
36,5.1
37,5.76
38,4.76
39,4.95
40,3.82
41,4.16
42,4.47
43,3.27
44,5.02
45,3.89
46,6.93
47,22.95
48,19.69
49,19.41
50,14.0
51,12.67
52,11.62
53,10.44
54,8.44
55,8.31
56,7.76
57,6.68
58,8.08
59,6.02
60,6.61
61,6.96
62,6.46
63,8.26
64,12.81
65,13.72
66,11.71
67,12.81
68,16.21
69,21.84
70,23.48
71,18.56
72,17.27
73,15.06
74,13.58
75,23.14
76,31.59
77,22.41
78,17.17
79,14.54
80,12.64
81,10.72
82,9.74
83,8.96
84,8.06
85,7.49
86,7.44
87,7.6
88,6.83
89,6.45
90,6.56
91,6.18
92,5.75
93,5.85
94,6.3
95,5.71
96,6.58
97,6.3
98,5.58
99,4.75
100,6.82
101,5.76
102,8.81
103,13.7
104,10.05
105,7.65
106,6.83
107,9.06
108,10.07
109,19.63
110,21.93
111,15.22
112,11.65
113,13.16
114,10.46
115,10.69
116,12.35
117,12.3
118,12.38
119,11.92
120,11.13
121,9.88
122,8.9
123,8.12
124,7.37
125,7.6
126,8.48
127,24.77
128,28.23
129,19.85
130,17.85
131,18.24
132,16.26
133,19.09
134,36.15
135,28.81
136,21.57
137,18.27
138,15.55
139,13.69
140,12.63
141,11.01
142,10.79
143,11.63
144,9.89
145,8.99
146,9.36
147,8.23
148,8.29
149,8.57
150,7.41
151,7.83
152,7.35
153,7.25
154,6.67
155,8.26
156,7.89
157,12.64
158,11.15
159,11.74
160,14.88
161,11.89
162,9.78
163,9.59
164,9.02
165,9.21
166,9.09
167,9.48
168,9.31
169,8.49
170,9.58
171,8.98
172,9.08
173,9.02
174,8.45
175,8.33
176,7.82
177,8.3
178,7.8
179,7.66
180,7.54
181,7.61
182,7.17
183,7.09
184,7.53
185,7.0
186,7.28
187,7.49
188,7.39
189,7.5
190,6.74
191,8.42
192,8.02
193,7.82
194,7.22
195,7.77
196,8.05
197,7.83
198,6.59
199,7.33
200,6.9
201,6.87
202,7.07
203,6.53
204,5.76
205,7.08
206,6.19
207,5.64
208,5.83
209,7.36
210,8.82
211,6.45
212,6.67
213,5.88
214,6.91
215,8.82
216,11.24
217,10.21
218,8.5
219,8.57
220,8.17
221,7.51
222,8.55
223,7.84
224,7.99
225,7.16
226,7.36
227,6.84
228,7.1
229,6.81
230,6.71
231,6.68
232,6.2
233,6.36
234,6.38
235,5.91
236,5.58
237,5.42
238,5.12
239,3.98
240,5.4
241,4.79
242,4.09
243,4.68
244,4.52
245,4.18
246,3.86
247,4.64
248,4.22
249,3.87
250,4.16
251,3.59
252,3.79
253,3.89
254,4.27
255,3.61
256,3.87
257,3.61
258,3.61
259,2.91
260,3.44
261,3.49
262,4.26
263,3.17
264,3.21
265,3.42
266,2.61
267,3.91
268,3.78
269,2.65
270,3.63
271,3.39
272,3.19
273,3.25
274,2.68
275,3.91
276,3.21
277,2.5
278,3.51
279,3.15
280,2.22
281,3.02
282,3.94
283,2.89
284,2.94
285,3.03
286,3.22
287,1.73
288,2.78
289,4.02
290,3.26
291,2.68
292,2.64
293,2.5
294,2.3
295,2.8
296,3.78
297,2.74
298,2.79
299,2.74
300,2.76
301,2.14
302,2.59
303,3.61
304,2.49
305,3.04
306,2.26
307,2.78
308,1.85
309,2.71
310,3.83
311,2.36
312,2.6
313,2.64
314,2.44
315,2.2
316,2.71
317,3.91
318,3.02
319,1.98
320,3.1
321,2.65
322,1.36
323,3.07
324,3.49
325,2.64
326,2.68
327,2.82
328,2.52
329,1.99
330,3.08
331,3.01
332,3.41
333,2.12
334,2.46
335,2.92
336,1.76
337,2.0
338,3.37
339,3.39
340,2.77
341,2.67
342,2.83
343,1.26
344,3.17
345,3.54
346,2.63
347,2.91
348,2.95
349,2.35
350,1.38
351,3.31
352,3.59
353,2.81
354,2.65
355,2.44
356,3.06
357,1.38
358,2.98
359,3.71
360,2.58
361,2.49
362,2.51
363,2.83
364,1.65
365,3.61
366,6.03
367,3.88
368,3.19
369,2.78
370,3.18
371,2.63
372,2.27
373,3.73
374,2.95
375,2.79
376,3.12
377,3.0
378,2.42
379,2.61
380,3.96
381,2.63
382,2.6
383,3.08
384,2.81
385,2.57
386,2.64
387,3.52
388,3.4
389,4.03
390,3.61
391,3.45
392,2.55
393,2.69
394,3.59
395,3.38
396,2.78
397,2.91
398,3.14
399,2.91
400,1.88
401,4.15
402,3.0
403,2.93
404,2.97
405,2.96
406,4.1
407,4.68
408,5.87
409,3.63
410,3.54
411,3.26
412,3.44
413,1.82
414,2.39
415,7.51
416,9.32
417,6.37
418,4.31
419,4.3
420,2.82
421,4.58
422,6.75
423,6.04
424,11.79
425,11.15
426,28.83
427,52.17
428,24.88
429,20.55
430,23.97
431,16.31
432,12.88
433,9.49
434,7.21
435,3.52
436,8.91
437,6.2
438,5.67
439,5.4
440,5.08
441,4.77
442,4.01
443,5.86
444,6.72
445,5.29
446,4.97
447,4.78
448,4.74
449,4.21
450,5.37
451,5.01
452,23.9
453,64.92
454,37.47
455,26.56
456,22.55
457,18.51
458,13.38
459,10.79
460,10.08
461,8.9
462,8.56
463,9.06
464,8.26
465,6.7
466,6.65
467,8.07
468,10.52
469,9.01
470,7.71
471,14.63
472,10.18
473,8.54
474,7.12
475,6.67
476,7.44
477,11.25
478,8.89
479,7.93
480,7.6
481,14.48
482,13.89
483,16.56
484,12.88
485,12.5
486,10.23
